project_name,repository_url,commit_hash,parent_commit_hash,author,date,message,variability_bug,bug_probability,matched_features,files_changed,build_system_affected,impact_scope,feature_scope,json_source_file,repo_dir
lvgl,https://github.com/lvgl/lvgl,63b9c5265fbc2666f2573145be4103d6aa631fa5,4751cb16c91a9769b4eaf6e11e0008b036aa3c14,Gabor Kiss-Vamosi,2018-10-18,lv_draw_img: fix to draw images with LV_COLOR_DEPTH 1,1,0.9997377991676332,LV_COLOR_DEPTH,lv_draw/lv_draw_vbasic.c,0,other,other,lvgl.json,repos/lvgl
lvgl,https://github.com/lvgl/lvgl,78428b523f355e79497bb1fd1e2b293d49812618,88b8e982b485368cc873860ba602a4cd315d674f,Gabor Kiss-Vamosi,2018-10-18,lv_draw_img: fix to draw images with LV_COLOR_DEPTH 1,1,0.9997377991676332,LV_COLOR_DEPTH,lv_draw/lv_draw_vbasic.c,0,other,other,lvgl.json,repos/lvgl
lvgl,https://github.com/lvgl/lvgl,75f3198c3d136f5e542f2a0e100d5f7189901a94,a114a42b74e8d0d4889d21a7660fa455e460d73e,Philipp Trommler,2019-01-02,"lv_log: Fix type limits error\n\nWhen building LittlevGL with a rather recent compiler (tested with GCC\n7.3.1 provided by Arm), `-Wall`, `-Wextra` and `-Werror` activated and\n`LV_LOG_LEVEL` set to `LV_LOG_LEVEL_TRACE`, compilation fails due to a\ntype limits error in lv_log.c\n\n     if(level >= LV_LOG_LEVEL) {\n              ^~\n\nbecause the comparison is always true, since level is a `lv_log_level_t`\n(that is a typedef for `uint8_t`) and `LV_LOG_LEVEL_TRACE` equals 0.\n\nFix that by making `lv_log_level_t` a typedef to `int8_t`.\n\nFixes #690",1,0.9997325539588928,"LV_LOG_LEVEL, LV_LOG_LEVEL_TRACE",lv_misc/lv_log.h,0,other,other,lvgl.json,repos/lvgl
lvgl,https://github.com/lvgl/lvgl,5b8e2cb6e1db85bcee512789251d1306496ac23a,6c55ba5d31add41980d7e25818cd55a2b1e7a75e,Brian Pugh,2019-01-12,Fixed off by one error for LV_TXT_LINE_BREAK_LONG_POST_MIN_LEN,1,0.9997374415397644,LV_TXT_LINE_BREAK_LONG_POST_MIN_LEN,lv_misc/lv_txt.c,0,other,other,lvgl.json,repos/lvgl
lvgl,https://github.com/lvgl/lvgl,08101e6d6b2230a6aa4243a0cd71263f6981473d,cd3d7248c54129e3be215479b7c98d614e567a2c,Gabor Kiss-Vamosi,2019-06-25,LV_COLOR_SCREEN_TRANSP fixes if LV_COLOR_DEPTH != 32,1,0.999733030796051,LV_COLOR_DEPTH,src/lv_draw/lv_draw_basic.c,0,other,other,lvgl.json,repos/lvgl
lvgl,https://github.com/lvgl/lvgl,f7c2512c76ca3edebc5241465638e59c273e6f67,c6b7cf130bebd205b0d355622bb8755d541e3d85,Amir Gonnen,2019-10-20,Bidi fixes\n\nAdd bidi_dir parameter to lv_draw_label\n\nUse draw buffer for bidi processing\n\ncondition bidi code according to LV_USE_BIDI,1,0.999325156211853,LV_USE_BIDI,"src/lv_draw/lv_draw_img.c, src/lv_draw/lv_draw_label.c, src/lv_draw/lv_draw_label.h, src/lv_misc/lv_bidi.c, src/lv_objx/lv_btnm.c, src/lv_objx/lv_calendar.c, src/lv_objx/lv_canvas.c, src/lv_objx/lv_chart.c, src/lv_objx/lv_ddlist.c, src/lv_objx/lv_gauge.c, src/lv_objx/lv_img.c, src/lv_objx/lv_imgbtn.c, src/lv_objx/lv_label.c, src/lv_objx/lv_roller.c, src/lv_objx/lv_ta.c, src/lv_objx/lv_table.c",0,other,other,lvgl.json,repos/lvgl
lvgl,https://github.com/lvgl/lvgl,30a5b2969060e5c94536b798e955dc466c73a78d,d0f257d4dd62a070a7a5430458de8f6ba5368991,Themba Dube,2019-10-30,Fix issue when LV_USE_BIDI is 0,1,0.999736487865448,LV_USE_BIDI,src/lv_objx/lv_table.c,0,other,other,lvgl.json,repos/lvgl
lvgl,https://github.com/lvgl/lvgl,bb91aeb64c56cb69b0c23ce26ecc66a983012941,46eabd6cf05e58b55659ca33d039ceaaf029af4b,Brian Pugh,2019-11-11,Add ability to disable inter-long-word breaks by setting LV_TXT_LINE_BREAK_LONG_LEN<=0. Fix some off-by-one character wrapping logic,1,0.9991046786308287,LV_TXT_LINE_BREAK_LONG_LEN,"lv_conf_template.h, src/lv_misc/lv_txt.c",0,other,other,lvgl.json,repos/lvgl
lvgl,https://github.com/lvgl/lvgl,1e4ce0b14323ff97e5a9c58b7bb1d3a4a4615550,8ac7bddaf72c4a628444dbec29404445017cb3b2,Pete Bone,2019-11-12,Dev 6.1 Minor fixes\n\nlv_draw_arc.c -> line 218\nRemoved unsed fast_atan2() function which appears to have been moved to\nlv_math.c as lv_atan2() function.\n\nlv_font_heb_16.c -> line 1\nFixed inconsistent include path.\n\nlv_label.c -> line 734\nAdded (char*) cast to const char* variable 'txt' to silence compiler\nwarning when LV_USE_BIDI is disabled.\n\nlv_style.c -> line 93\nRemoved this line \n\nlv_style.c -> line 97\nReverted this line to remove override of LV_FONT_DEFAULT defined in\nlv_conf.h,1,0.9995502829551696,LV_USE_BIDI,"src/lv_core/lv_style.c, src/lv_draw/lv_draw_arc.c, src/lv_font/lv_font_heb_16.c, src/lv_objx/lv_label.c",0,other,other,lvgl.json,repos/lvgl
lvgl,https://github.com/lvgl/lvgl,14c407dad3b8a707659f2b8cf4a4bae9e21de68a,8bb67c0303e44315aa73348ce4f15b3204f4863e,Amir Gonnen,2019-11-25,Remote redundant line\n\nCauses compilation error when LV_COLOR_DEPTH == 16,1,0.9997064471244812,LV_COLOR_DEPTH,src/lv_misc/lv_color.h,0,other,other,lvgl.json,repos/lvgl
