project_name,repository_url,commit_hash,parent_commit_hash,author,date,message,variability_bug,bug_probability,matched_features,files_changed,build_system_affected,impact_scope,feature_scope,json_source_file,repo_dir
HomaModule,https://github.com/PlatformLab/HomaModule,c8378973e0433d38e465714a1ae8c32629dc0e42,48afc13db6bc840bd9901bc3442e655534fc7eeb,John Ousterhout,2019-01-04,"Fix bug in grant mechanism\nWasn't checking to send new grants when deleting RPCs.\nAlso added ""flag"" sysctl with HOMA_FLAG_LOG_ACTIVE_RPCS option\nto log active messages.\nAlso added homa_symbol_for_state function.",1,0.9994338154792786,HOMA,"homa.h, homa_impl.h, homa_incoming.c, homa_plumbing.c, homa_timer.c, homa_utils.c, notes.txt, unit/Makefile, unit/unit_homa_incoming.c",1,build system,other,HomaModule.json,repos/HomaModule
HomaModule,https://github.com/PlatformLab/HomaModule,a74f1785b5c0f3447a8dadde2cba7d83b62ae265,e10c4f111a10201994abf563fad0c38eefe21e9a,John Ousterhout,2019-09-30,"Added workload support to cp_node.\nFixed bug: homa_message_out_reset must copy GSO info.\nFixed bug: msgout.next_offset wasn't updated properly by homa_xmit_data.\nEliminated msgout.next_offset (just look in the packet).\nRemoved pipeline_xmit option (tricky to support with next_offset\nelimination, hasn't shown any performance benefit yet).\nReplaced HOMA_MIN_CLIENT_PORT checks with is_client checks.",1,0.9952174425125122,HOMA,"cloudlab/bin/start_xl170, cloudlab/update, homa_impl.h, homa_incoming.c, homa_outgoing.c, homa_plumbing.c, homa_timer.c, homa_utils.c, man/homa.7, notes.txt, test/unit_homa_outgoing.c, test/utils.c, timetrace.c, util/Makefile, util/cp_node.cc, util/dist.cc, util/dist.h",1,build system,other,HomaModule.json,repos/HomaModule
HomaModule,https://github.com/PlatformLab/HomaModule,adcfe1ce0f1a698c2db0ee29b2258832a2d0f09e,cdfea4eb7d58710a215f957e9669709b862d2e2a,John Ousterhout,2021-09-20,"Removed ""type"" parameter from homa_recv and homa_recvv\nAlso, renamed HOMA_MIN_CLIENT_PORT to HOMA_MIN_DEFAULT_PORT and\nfixed several bits of stale documentation.",1,0.9898339509963988,HOMA,"homa.h, homa_api.c, homa_plumbing.c, homa_socktab.c, homa_utils.c, man/homa.7, man/homa_recv.3, test/mock.c, test/unit_homa_plumbing.c, test/unit_homa_socktab.c, util/cp_node.cc, util/homa_test.cc, util/server.cc",0,other,other,HomaModule.json,repos/HomaModule
HomaModule,https://github.com/PlatformLab/HomaModule,6b18556f5fa64f18a269186370f0083cc9b8a07d,1f73646c084233b0fc99c8077743cc1a82007d86,John Ousterhout,2021-11-02,homa_ioc_recv didn't free RPCs after errors w. HOMA_RECV_PARTIAL,1,0.9997063279151917,HOMA,"homa_plumbing.c, test/unit_homa_plumbing.c",0,other,other,HomaModule.json,repos/HomaModule
HomaModule,https://github.com/PlatformLab/HomaModule,79df0f48430210b5362f9d1f34bf3ea87fc90d2d,3de988b7d6d6b47218e4d9b7ab5f9c84f991aed3,John Ousterhout,2022-07-18,"Added GRO policy HOMA_GRO_IDLE_NEW\n(Fixed load-balancing problem with HOMA_GRO_IDLE, where if SoftIRQ\nwas slow to start up, GRO would keep assigning more batches of\npackets to it, instead of switching to a different core)",1,0.999563992023468,HOMA,"homa_impl.h, homa_incoming.c, homa_offload.c, homa_plumbing.c, homa_utils.c, man/homa.7, test/unit_homa_offload.c, timetrace.c",0,other,other,HomaModule.json,repos/HomaModule
